id_articolo,url_articolo,titolo,data_pubblicazione_iso,n_words_body
commentisfree/2026/may/25/oppressing-women-authoritarianism-reform,https://www.theguardian.com/commentisfree/2026/may/25/oppressing-women-authoritarianism-reform,Oppressing women is how authoritarianism begins. So listen to what Reform is saying,2026-05-25T15:43:16Z,758
world/2026/may/25/trump-tower-georgia-tbilisi-land-part-owned-son-us-sanctions-leader,https://www.theguardian.com/world/2026/may/25/trump-tower-georgia-tbilisi-land-part-owned-son-us-sanctions-leader,Trump Tower in Georgia to be built on land part-owned by son of US sanctions-hit leader,2026-05-25T12:00:27Z,1023
us-news/2026/may/25/first-thing-us-and-iran-inch-closer-to-peace-deal-as-trump-faces-criticism-from-gop-hawks,https://www.theguardian.com/us-news/2026/may/25/first-thing-us-and-iran-inch-closer-to-peace-deal-as-trump-faces-criticism-from-gop-hawks,First Thing: US and Iran inch closer to peace deal as Trump faces criticism from GOP hawks,2026-05-25T10:12:00Z,1112
world/2026/may/25/armenia-election-crossroads-between-east-west,https://www.theguardian.com/world/2026/may/25/armenia-election-crossroads-between-east-west,"‘A bridge, not an obstacle’: is Armenia a new crossroads between east and west?",2026-05-25T07:40:46Z,1552
world/2026/may/25/monday-briefing-why-public-patience-with-privatisation-has-finally-run-out,https://www.theguardian.com/world/2026/may/25/monday-briefing-why-public-patience-with-privatisation-has-finally-run-out,Monday briefing: Why ​public ​patience ​with ​privatis​ation ​has ​finally ​run out ,2026-05-25T05:44:48Z,1853
commentisfree/2026/may/25/angela-merkel-vladimir-putin-ukraine-war-kyiv,https://www.theguardian.com/commentisfree/2026/may/25/angela-merkel-vladimir-putin-ukraine-war-kyiv,Angela Merkel won’t be negotiating with Putin – but the rumour reflects a truth about the Ukraine war,2026-05-25T04:00:16Z,926
world/2026/may/24/gps-jammed-on-raf-jet-carrying-uk-defence-secretary-close-to-russian-border,https://www.theguardian.com/world/2026/may/24/gps-jammed-on-raf-jet-carrying-uk-defence-secretary-close-to-russian-border,GPS jammed on RAF jet carrying UK defence secretary close to Russian border,2026-05-24T22:40:17Z,401
australia-news/2026/may/25/morning-mail-monday-ntwnfb,https://www.theguardian.com/australia-news/2026/may/25/morning-mail-monday-ntwnfb,Morning Mail: Immigration detention security failures revealed; alarm over ‘prediction market’ bets; Spurs secure survival,2026-05-24T20:40:56Z,977
sport/live/2026/may/24/french-open-2026-zverev-raducanu-fritz-day-one-roland-garros-live,https://www.theguardian.com/sport/live/2026/may/24/french-open-2026-zverev-raducanu-fritz-day-one-roland-garros-live,French Open 2026: Raducanu crashes out to Sierra; Zverev eases through on day one – as it happened,2026-05-24T17:34:13Z,6432
commentisfree/2026/may/24/the-guardian-view-on-erdogans-tightening-grip-on-turkey-the-next-election-is-already-being-decided,https://www.theguardian.com/commentisfree/2026/may/24/the-guardian-view-on-erdogans-tightening-grip-on-turkey-the-next-election-is-already-being-decided,The Guardian view on Erdoğan’s tightening grip on Turkey: the next election is already being decided,2026-05-24T16:30:01Z,579
world/2026/may/24/russia-hits-kyiv-ukraine-hypersonic-ballistic-missile,https://www.theguardian.com/world/2026/may/24/russia-hits-kyiv-ukraine-hypersonic-ballistic-missile,Russia hits Kyiv with hypersonic ballistic missile in ‘deranged’ attack,2026-05-24T16:02:26Z,1068
politics/2026/may/24/farage-mounting-pressure-prove-russian-hack-claim,https://www.theguardian.com/politics/2026/may/24/farage-mounting-pressure-prove-russian-hack-claim,Farage under mounting pressure to prove Russian hack claim,2026-05-24T15:46:51Z,869
sport/2026/may/24/french-open-roundup-kostyuk-selekhmeteva-gea-khachanov-djokovic-perricard-tennis,https://www.theguardian.com/sport/2026/may/24/french-open-roundup-kostyuk-selekhmeteva-gea-khachanov-djokovic-perricard-tennis,Ukraine’s Kostyuk keeps focus on French Open after missile strike near parents’ home,2026-05-24T14:32:21Z,844
commentisfree/2026/may/24/tulsi-gabbard-foreign-wars-trump,https://www.theguardian.com/commentisfree/2026/may/24/tulsi-gabbard-foreign-wars-trump,Tulsi Gabbard’s resistance to foreign wars amid Trump’s aggression was her undoing,2026-05-24T12:00:57Z,1255
politics/2026/may/24/uk-supply-chain-unprepared-for-major-shocks-war-report-warns,https://www.theguardian.com/politics/2026/may/24/uk-supply-chain-unprepared-for-major-shocks-war-report-warns,"UK supply chain unprepared for major shocks such as war, report warns",2026-05-24T10:00:53Z,811
world/2026/may/24/ukraine-war-briefing-zelenskyy-sounds-warning-after-russia-strikes-kyiv-with-oreshnik-missile,https://www.theguardian.com/world/2026/may/24/ukraine-war-briefing-zelenskyy-sounds-warning-after-russia-strikes-kyiv-with-oreshnik-missile,Ukraine war briefing: Zelenskyy sounds warning on Oreshnik missiles as Russia strikes Kyiv ,2026-05-24T05:42:39Z,927
world/ng-interactive/2026/may/24/there-is-profound-disappointment-in-him-mood-in-russia-turns-against-putin,https://www.theguardian.com/world/ng-interactive/2026/may/24/there-is-profound-disappointment-in-him-mood-in-russia-turns-against-putin,‘There is profound disappointment in him’: mood in Russia turns against Putin,2026-05-24T05:00:47Z,1863
business/2026/may/23/iran-war-us-gas-prices-oil-fuel,https://www.theguardian.com/business/2026/may/23/iran-war-us-gas-prices-oil-fuel,"Even if the Iran war ended today, US fuel prices aren’t likely to normalize this year",2026-05-23T11:00:25Z,1064
politics/2026/may/23/uk-eu-european-union-reset-david-miliband-single-market-goods,https://www.theguardian.com/politics/2026/may/23/uk-eu-european-union-reset-david-miliband-single-market-goods,"UK needs ‘national consensus’ over rejoining EU, David Miliband says",2026-05-23T10:26:13Z,651
world/2026/may/23/hybrid-village-stores-rural-germany-fend-off-far-right,https://www.theguardian.com/world/2026/may/23/hybrid-village-stores-rural-germany-fend-off-far-right,Can hybrid village stores answer rural Germany’s ‘cry for help’ and fend off far right?,2026-05-23T05:00:18Z,1183
us-news/live/2026/may/22/donald-trump-ai-china-iran-war-powers-hormuz-latest-news-updates,https://www.theguardian.com/us-news/live/2026/may/22/donald-trump-ai-china-iran-war-powers-hormuz-latest-news-updates,Sunrise Movement takes credit for disrupting Trump’s New York state rally – as it happened,2026-05-23T01:58:52Z,8992
world/2026/may/23/ukraine-war-briefing-putin-promises-revenge-after-blaming-kyiv-for-luhansk-attack-he-says-killed-six,https://www.theguardian.com/world/2026/may/23/ukraine-war-briefing-putin-promises-revenge-after-blaming-kyiv-for-luhansk-attack-he-says-killed-six,Ukraine war briefing: Putin promises revenge after blaming Kyiv for Luhansk attack he says killed six ,2026-05-23T01:49:48Z,692
politics/2026/may/22/uk-pitched-single-market-for-goods-with-eu-as-it-pursues-trade-reintegration,https://www.theguardian.com/politics/2026/may/22/uk-pitched-single-market-for-goods-with-eu-as-it-pursues-trade-reintegration,UK pitched single market for goods with EU in pursuit of deeper trade ties,2026-05-22T21:51:48Z,1083
